MD step 0: esapsed time: 8.58, average time: 8.58
MD step 520: esapsed time: 3161.11, average time: 6.07
MD step 530: esapsed time: 3219.77, average time: 6.06
MD step 540: esapsed time: 3277.51, average time: 6.06
MD step 550: esapsed time: 3335.74, average time: 6.05
MD step 560: esapsed time: 3396.23, average time: 6.05
MD step 570: esapsed time: 3463.00, average time: 6.06
MD step 580: esapsed time: 3524.26, average time: 6.07
MD step 590: esapsed time: 3581.35, average time: 6.06
MD step 600: esapsed time: 3644.00, average time: 6.06
MD step 610: esapsed time: 3701.37, average time: 6.06
MD step 620: esapsed time: 3764.57, average time: 6.06
MD step 630: esapsed time: 3824.38, average time: 6.06
MD step 640: esapsed time: 3887.90, average time: 6.07
MD step 650: esapsed time: 3950.12, average time: 6.07
MD step 660: esapsed time: 4009.28, average time: 6.07
MD step 670: esapsed time: 4068.57, average time: 6.06
MD step 680: esapsed time: 4122.49, average time: 6.05
MD step 690: esapsed time: 4184.46, average time: 6.06
MD step 700: esapsed time: 4246.42, average time: 6.06
MD step 710: esapsed time: 4307.83, average time: 6.06
MD step 720: esapsed time: 4362.50, average time: 6.05
MD step 730: esapsed time: 4418.61, average time: 6.04
MD step 740: esapsed time: 4474.38, average time: 6.04
MD step 750: esapsed time: 4537.83, average time: 6.04
MD step 760: esapsed time: 4594.13, average time: 6.04
MD step 770: esapsed time: 4654.85, average time: 6.04
MD step 780: esapsed time: 4710.90, average time: 6.03
MD step 790: esapsed time: 4768.80, average time: 6.03
MD step 800: esapsed time: 4829.30, average time: 6.03
MD step 810: esapsed time: 4889.06, average time: 6.03
MD step 820: esapsed time: 4947.82, average time: 6.03
MD step 830: esapsed time: 5015.00, average time: 6.03
MD step 840: esapsed time: 5070.05, average time: 6.03
MD step 850: esapsed time: 5131.74, average time: 6.03
MD step 860: esapsed time: 5192.57, average time: 6.03
MD step 870: esapsed time: 5258.13, average time: 6.04
MD step 880: esapsed time: 5319.43, average time: 6.04
MD step 890: esapsed time: 5378.27, average time: 6.04
MD step 900: esapsed time: 5436.19, average time: 6.03
MD step 910: esapsed time: 5497.47, average time: 6.03
MD step 920: esapsed time: 5554.32, average time: 6.03
MD step 930: esapsed time: 5607.71, average time: 6.02
MD step 940: esapsed time: 5662.78, average time: 6.02
MD step 950: esapsed time: 5723.59, average time: 6.02
MD step 960: esapsed time: 5782.54, average time: 6.02
MD step 970: esapsed time: 5846.90, average time: 6.02
MD step 980: esapsed time: 5904.91, average time: 6.02
MD step 990: esapsed time: 5960.57, average time: 6.01
MD step 1000: esapsed time: 6016.29, average time: 6.01
MD step 1010: esapsed time: 6073.33, average time: 6.01
MD step 1020: esapsed time: 6130.91, average time: 6.00
MD step 1030: esapsed time: 6187.19, average time: 6.00
MD step 1040: esapsed time: 6243.45, average time: 6.00
MD step 1050: esapsed time: 6296.56, average time: 5.99
MD step 1060: esapsed time: 6351.03, average time: 5.99
MD step 1070: esapsed time: 6405.73, average time: 5.98
MD step 1080: esapsed time: 6465.75, average time: 5.98
MD step 1090: esapsed time: 6533.86, average time: 5.99
MD step 1100: esapsed time: 6597.76, average time: 5.99
MD step 1110: esapsed time: 6657.53, average time: 5.99
MD step 1120: esapsed time: 6730.27, average time: 6.00
MD step 1130: esapsed time: 6791.17, average time: 6.00
MD step 1140: esapsed time: 6850.57, average time: 6.00
MD step 1150: esapsed time: 6912.16, average time: 6.01
MD step 1160: esapsed time: 6971.03, average time: 6.00
MD step 1170: esapsed time: 7030.98, average time: 6.00
MD step 1180: esapsed time: 7088.16, average time: 6.00
MD step 1190: esapsed time: 7148.41, average time: 6.00
MD step 1200: esapsed time: 7204.90, average time: 6.00
MD step 1210: esapsed time: 7272.42, average time: 6.01
MD step 1220: esapsed time: 7339.19, average time: 6.01
MD step 1230: esapsed time: 7405.19, average time: 6.02
MD step 1240: esapsed time: 7465.20, average time: 6.02
MD step 1250: esapsed time: 7521.43, average time: 6.01
MD step 1260: esapsed time: 7575.28, average time: 6.01
MD step 1270: esapsed time: 7640.19, average time: 6.01
MD step 1280: esapsed time: 7709.03, average time: 6.02
MD step 1290: esapsed time: 7769.53, average time: 6.02
MD step 1300: esapsed time: 7824.58, average time: 6.01
MD step 1310: esapsed time: 7883.01, average time: 6.01
MD step 1320: esapsed time: 7941.85, average time: 6.01
MD step 1330: esapsed time: 7999.82, average time: 6.01
MD step 1340: esapsed time: 8059.75, average time: 6.01
MD step 1350: esapsed time: 8125.69, average time: 6.01
MD step 1360: esapsed time: 8185.57, average time: 6.01
MD step 1370: esapsed time: 8249.23, average time: 6.02
MD step 1380: esapsed time: 8303.12, average time: 6.01
MD step 1390: esapsed time: 8366.66, average time: 6.01
MD step 1400: esapsed time: 8431.78, average time: 6.02
MD step 1410: esapsed time: 8498.50, average time: 6.02
MD step 1420: esapsed time: 8560.35, average time: 6.02
MD step 1430: esapsed time: 8629.13, average time: 6.03
MD step 1440: esapsed time: 8684.89, average time: 6.03
MD step 1450: esapsed time: 8744.99, average time: 6.03
MD step 1460: esapsed time: 8806.66, average time: 6.03
MD step 1470: esapsed time: 8865.61, average time: 6.03
MD step 1480: esapsed time: 8925.35, average time: 6.03
MD step 1490: esapsed time: 8982.37, average time: 6.02
MD step 1500: esapsed time: 9043.91, average time: 6.03
MD step 1510: esapsed time: 9102.47, average time: 6.02
MD step 1520: esapsed time: 9168.41, average time: 6.03
MD step 1530: esapsed time: 9224.47, average time: 6.03
MD step 1540: esapsed time: 9291.67, average time: 6.03
MD step 1550: esapsed time: 9353.98, average time: 6.03
MD step 1560: esapsed time: 9417.05, average time: 6.03
MD step 1570: esapsed time: 9485.14, average time: 6.04
MD step 1580: esapsed time: 9553.93, average time: 6.04
MD step 1590: esapsed time: 9618.58, average time: 6.05
MD step 1600: esapsed time: 9682.20, average time: 6.05
MD step 1610: esapsed time: 9743.27, average time: 6.05
MD step 1620: esapsed time: 9803.44, average time: 6.05
MD step 1630: esapsed time: 9869.03, average time: 6.05
MD step 1640: esapsed time: 9935.45, average time: 6.05
MD step 1650: esapsed time: 10007.16, average time: 6.06
MD step 1660: esapsed time: 10077.62, average time: 6.07
MD step 1670: esapsed time: 10143.06, average time: 6.07
MD step 1680: esapsed time: 10207.99, average time: 6.07
MD step 1690: esapsed time: 10279.87, average time: 6.08
MD step 1700: esapsed time: 10342.60, average time: 6.08
MD step 1710: esapsed time: 10404.95, average time: 6.08
MD step 1720: esapsed time: 10477.58, average time: 6.09
MD step 1730: esapsed time: 10545.09, average time: 6.09
MD step 1740: esapsed time: 10605.68, average time: 6.09
MD step 1750: esapsed time: 10673.43, average time: 6.10
MD step 1760: esapsed time: 10733.74, average time: 6.10
MD step 1770: esapsed time: 10801.51, average time: 6.10
MD step 1780: esapsed time: 10862.62, average time: 6.10
MD step 1790: esapsed time: 10930.37, average time: 6.10
MD step 1800: esapsed time: 10990.41, average time: 6.10
MD step 1810: esapsed time: 11046.91, average time: 6.10
MD step 1820: esapsed time: 11104.82, average time: 6.10
MD step 1830: esapsed time: 11168.54, average time: 6.10
MD step 1840: esapsed time: 11223.98, average time: 6.10
MD step 1850: esapsed time: 11280.80, average time: 6.09
MD step 1860: esapsed time: 11342.19, average time: 6.09
MD step 1870: esapsed time: 11399.35, average time: 6.09
MD step 1880: esapsed time: 11452.61, average time: 6.09
MD step 1890: esapsed time: 11515.59, average time: 6.09
MD step 1900: esapsed time: 11577.21, average time: 6.09
MD step 1910: esapsed time: 11636.74, average time: 6.09
MD step 1920: esapsed time: 11693.80, average time: 6.09
MD step 1930: esapsed time: 11768.00, average time: 6.09
MD step 1940: esapsed time: 11831.16, average time: 6.10
MD step 1950: esapsed time: 11891.91, average time: 6.10
MD step 1960: esapsed time: 11951.21, average time: 6.09
MD step 1970: esapsed time: 12006.10, average time: 6.09
MD step 1980: esapsed time: 12065.77, average time: 6.09
MD step 1990: esapsed time: 12127.34, average time: 6.09
MD step 2000: esapsed time: 12188.16, average time: 6.09
MD step 2010: esapsed time: 12244.77, average time: 6.09
MD step 2020: esapsed time: 12314.89, average time: 6.09
MD step 2030: esapsed time: 12374.39, average time: 6.09
MD step 2040: esapsed time: 12434.68, average time: 6.09
MD step 2050: esapsed time: 12498.29, average time: 6.09
MD step 2060: esapsed time: 12554.90, average time: 6.09
MD step 2070: esapsed time: 12613.11, average time: 6.09
MD step 2080: esapsed time: 12668.32, average time: 6.09
MD step 2090: esapsed time: 12729.12, average time: 6.09
MD step 2100: esapsed time: 12789.03, average time: 6.09
MD step 2110: esapsed time: 12851.34, average time: 6.09
MD step 2120: esapsed time: 12910.67, average time: 6.09
MD step 2130: esapsed time: 12965.00, average time: 6.08
MD step 2140: esapsed time: 13023.62, average time: 6.08
MD step 2150: esapsed time: 13082.60, average time: 6.08
MD step 2160: esapsed time: 13138.78, average time: 6.08
MD step 2170: esapsed time: 13200.93, average time: 6.08
MD step 2180: esapsed time: 13256.33, average time: 6.08
MD step 2190: esapsed time: 13311.29, average time: 6.08
MD step 2200: esapsed time: 13369.49, average time: 6.07
MD step 2210: esapsed time: 13426.93, average time: 6.07
MD step 2220: esapsed time: 13489.52, average time: 6.07
MD step 2230: esapsed time: 13552.88, average time: 6.07
MD step 2240: esapsed time: 13613.37, average time: 6.07
MD step 2250: esapsed time: 13673.30, average time: 6.07
MD step 2260: esapsed time: 13729.31, average time: 6.07
MD step 2270: esapsed time: 13790.11, average time: 6.07
MD step 2280: esapsed time: 13851.16, average time: 6.07
MD step 2290: esapsed time: 13913.38, average time: 6.07
MD step 2300: esapsed time: 13970.75, average time: 6.07
MD step 2310: esapsed time: 14034.43, average time: 6.07
MD step 2320: esapsed time: 14098.81, average time: 6.07
MD step 2330: esapsed time: 14156.85, average time: 6.07
MD step 2340: esapsed time: 14212.70, average time: 6.07
MD step 2350: esapsed time: 14269.57, average time: 6.07
MD step 2360: esapsed time: 14334.00, average time: 6.07
MD step 2370: esapsed time: 14393.01, average time: 6.07
MD step 2380: esapsed time: 14450.93, average time: 6.07
MD step 2390: esapsed time: 14516.91, average time: 6.07
MD step 2400: esapsed time: 14584.46, average time: 6.07
MD step 2410: esapsed time: 14646.14, average time: 6.07
MD step 2420: esapsed time: 14707.21, average time: 6.07
MD step 2430: esapsed time: 14772.16, average time: 6.08
MD step 2440: esapsed time: 14835.66, average time: 6.08
MD step 2450: esapsed time: 14893.74, average time: 6.08
MD step 2460: esapsed time: 14962.65, average time: 6.08
MD step 2470: esapsed time: 15027.38, average time: 6.08
MD step 2480: esapsed time: 15097.97, average time: 6.09
MD step 2490: esapsed time: 15163.50, average time: 6.09
MD step 2500: esapsed time: 15220.03, average time: 6.09
MD step 2510: esapsed time: 15279.32, average time: 6.08
MD step 2520: esapsed time: 15341.65, average time: 6.09
MD step 2530: esapsed time: 15413.18, average time: 6.09
MD step 2540: esapsed time: 15474.81, average time: 6.09
MD step 2550: esapsed time: 15536.22, average time: 6.09
MD step 2560: esapsed time: 15598.73, average time: 6.09
MD step 2570: esapsed time: 15664.42, average time: 6.09
MD step 2580: esapsed time: 15727.84, average time: 6.09
MD step 2590: esapsed time: 15798.33, average time: 6.10
MD step 2600: esapsed time: 15858.70, average time: 6.10
MD step 2610: esapsed time: 15924.69, average time: 6.10
MD step 2620: esapsed time: 15983.24, average time: 6.10
MD step 2630: esapsed time: 16048.57, average time: 6.10
MD step 2640: esapsed time: 16115.97, average time: 6.10
MD step 2650: esapsed time: 16187.65, average time: 6.11
MD step 2660: esapsed time: 16247.53, average time: 6.11
MD step 2670: esapsed time: 16311.49, average time: 6.11
MD step 2680: esapsed time: 16375.36, average time: 6.11
MD step 2690: esapsed time: 16441.44, average time: 6.11
MD step 2700: esapsed time: 16504.38, average time: 6.11
MD step 2710: esapsed time: 16566.93, average time: 6.11
MD step 2720: esapsed time: 16633.18, average time: 6.11
MD step 2730: esapsed time: 16696.55, average time: 6.11
MD step 2740: esapsed time: 16755.34, average time: 6.11
MD step 2750: esapsed time: 16813.15, average time: 6.11
MD step 2760: esapsed time: 16869.24, average time: 6.11
MD step 2770: esapsed time: 16931.05, average time: 6.11
MD step 2780: esapsed time: 16988.97, average time: 6.11
MD step 2790: esapsed time: 17048.32, average time: 6.11
MD step 2800: esapsed time: 17109.00, average time: 6.11
MD step 2810: esapsed time: 17173.30, average time: 6.11
MD step 2820: esapsed time: 17229.57, average time: 6.11
MD step 2830: esapsed time: 17293.25, average time: 6.11
MD step 2840: esapsed time: 17353.26, average time: 6.11
MD step 2850: esapsed time: 17413.09, average time: 6.11
MD step 2860: esapsed time: 17471.08, average time: 6.11
MD step 2870: esapsed time: 17534.13, average time: 6.11
MD step 2880: esapsed time: 17598.63, average time: 6.11
MD step 2890: esapsed time: 17661.25, average time: 6.11
MD step 2900: esapsed time: 17723.90, average time: 6.11
MD step 2910: esapsed time: 17788.02, average time: 6.11
MD step 2920: esapsed time: 17851.82, average time: 6.11
MD step 2930: esapsed time: 17915.16, average time: 6.11
MD step 2940: esapsed time: 17975.28, average time: 6.11
MD step 2950: esapsed time: 18042.67, average time: 6.11
MD step 2960: esapsed time: 18109.68, average time: 6.12
MD step 2970: esapsed time: 18178.02, average time: 6.12
MD step 2980: esapsed time: 18242.17, average time: 6.12
MD step 2990: esapsed time: 18301.71, average time: 6.12
MD step 3000: esapsed time: 18369.03, average time: 6.12
MD step 3010: esapsed time: 18435.43, average time: 6.12
MD step 3020: esapsed time: 18497.91, average time: 6.12
MD step 3030: esapsed time: 18563.98, average time: 6.12
MD step 3040: esapsed time: 18632.69, average time: 6.13
MD step 3050: esapsed time: 18701.19, average time: 6.13
MD step 3060: esapsed time: 18761.38, average time: 6.13
MD step 3070: esapsed time: 18830.25, average time: 6.13
MD step 3080: esapsed time: 18891.44, average time: 6.13
MD step 3090: esapsed time: 18950.47, average time: 6.13
MD step 3100: esapsed time: 19019.06, average time: 6.13
MD step 3110: esapsed time: 19079.62, average time: 6.13
MD step 3120: esapsed time: 19137.82, average time: 6.13
MD step 3130: esapsed time: 19199.21, average time: 6.13
MD step 3140: esapsed time: 19270.42, average time: 6.14
MD step 3150: esapsed time: 19342.10, average time: 6.14
MD step 3160: esapsed time: 19413.32, average time: 6.14
MD step 3170: esapsed time: 19479.35, average time: 6.14
MD step 3180: esapsed time: 19544.88, average time: 6.14
MD step 3190: esapsed time: 19611.89, average time: 6.15
MD step 3200: esapsed time: 19681.41, average time: 6.15
MD step 3210: esapsed time: 19743.50, average time: 6.15
MD step 3220: esapsed time: 19800.96, average time: 6.15
MD step 3230: esapsed time: 19873.21, average time: 6.15
MD step 3240: esapsed time: 19941.30, average time: 6.15
MD step 3250: esapsed time: 20006.16, average time: 6.15
MD step 3260: esapsed time: 20063.42, average time: 6.15
MD step 3270: esapsed time: 20132.94, average time: 6.15
MD step 3280: esapsed time: 20195.96, average time: 6.16
MD step 3290: esapsed time: 20258.51, average time: 6.16
MD step 3300: esapsed time: 20330.45, average time: 6.16
MD step 3310: esapsed time: 20395.05, average time: 6.16
MD step 3320: esapsed time: 20462.65, average time: 6.16
MD step 3330: esapsed time: 20526.01, average time: 6.16
MD step 3340: esapsed time: 20594.54, average time: 6.16
MD step 3350: esapsed time: 20659.00, average time: 6.17
MD step 3360: esapsed time: 20721.80, average time: 6.17
MD step 3370: esapsed time: 20779.34, average time: 6.16
MD step 3380: esapsed time: 20835.92, average time: 6.16
MD step 3390: esapsed time: 20901.52, average time: 6.16
MD step 3400: esapsed time: 20972.57, average time: 6.17
MD step 3410: esapsed time: 21033.92, average time: 6.17
MD step 3420: esapsed time: 21095.86, average time: 6.17
MD step 3430: esapsed time: 21155.89, average time: 6.17
MD step 3440: esapsed time: 21218.75, average time: 6.17
MD step 3450: esapsed time: 21276.06, average time: 6.17
MD step 3460: esapsed time: 21333.62, average time: 6.16
MD step 3470: esapsed time: 21393.84, average time: 6.16
MD step 3480: esapsed time: 21460.87, average time: 6.17
MD step 3490: esapsed time: 21526.32, average time: 6.17
MD step 3500: esapsed time: 21584.93, average time: 6.17
MD step 3510: esapsed time: 21649.84, average time: 6.17
MD step 3520: esapsed time: 21704.16, average time: 6.16
MD step 3530: esapsed time: 21761.52, average time: 6.16
MD step 3540: esapsed time: 21818.22, average time: 6.16
MD step 3550: esapsed time: 21878.67, average time: 6.16
MD step 3560: esapsed time: 21945.53, average time: 6.16
MD step 3570: esapsed time: 22015.58, average time: 6.17
MD step 3580: esapsed time: 22073.73, average time: 6.16
MD step 3590: esapsed time: 22134.19, average time: 6.16
MD step 3600: esapsed time: 22204.74, average time: 6.17
MD step 3610: esapsed time: 22265.89, average time: 6.17
MD step 3620: esapsed time: 22320.80, average time: 6.16
MD step 3630: esapsed time: 22385.95, average time: 6.17
MD step 3640: esapsed time: 22452.94, average time: 6.17
MD step 3650: esapsed time: 22514.89, average time: 6.17
MD step 3660: esapsed time: 22574.45, average time: 6.17
MD step 3670: esapsed time: 22632.53, average time: 6.17
MD step 3680: esapsed time: 22698.81, average time: 6.17
MD step 3690: esapsed time: 22763.81, average time: 6.17
MD step 3700: esapsed time: 22825.86, average time: 6.17
MD step 3710: esapsed time: 22894.16, average time: 6.17
MD step 3720: esapsed time: 22957.26, average time: 6.17
MD step 3730: esapsed time: 23028.17, average time: 6.17
MD step 3740: esapsed time: 23089.27, average time: 6.17
MD step 3750: esapsed time: 23152.53, average time: 6.17
MD step 3760: esapsed time: 23213.41, average time: 6.17
MD step 3770: esapsed time: 23269.40, average time: 6.17
MD step 3780: esapsed time: 23329.50, average time: 6.17
MD step 3790: esapsed time: 23388.52, average time: 6.17
MD step 3800: esapsed time: 23451.54, average time: 6.17
MD step 3810: esapsed time: 23522.92, average time: 6.17
MD step 3820: esapsed time: 23586.76, average time: 6.17
MD step 3830: esapsed time: 23648.10, average time: 6.17
MD step 3840: esapsed time: 23715.95, average time: 6.17
MD step 3850: esapsed time: 23779.75, average time: 6.17
MD step 3860: esapsed time: 23837.33, average time: 6.17
MD step 3870: esapsed time: 23892.20, average time: 6.17
MD step 3880: esapsed time: 23955.75, average time: 6.17
MD step 3890: esapsed time: 24016.20, average time: 6.17
MD step 3900: esapsed time: 24083.52, average time: 6.17
MD step 3910: esapsed time: 24146.85, average time: 6.17
MD step 3920: esapsed time: 24211.29, average time: 6.17
MD step 3930: esapsed time: 24275.38, average time: 6.18
MD step 3940: esapsed time: 24335.84, average time: 6.18
MD step 3950: esapsed time: 24399.48, average time: 6.18
MD step 3960: esapsed time: 24456.50, average time: 6.17
MD step 3970: esapsed time: 24520.31, average time: 6.17
MD step 3980: esapsed time: 24586.53, average time: 6.18
MD step 3990: esapsed time: 24649.25, average time: 6.18
MD step 4000: esapsed time: 24719.89, average time: 6.18
MD step 4010: esapsed time: 24782.94, average time: 6.18
MD step 4020: esapsed time: 24843.74, average time: 6.18
MD step 4030: esapsed time: 24905.32, average time: 6.18
MD step 4040: esapsed time: 24964.94, average time: 6.18
MD step 4050: esapsed time: 25030.61, average time: 6.18
MD step 4060: esapsed time: 25100.74, average time: 6.18
MD step 4070: esapsed time: 25162.14, average time: 6.18
MD step 4080: esapsed time: 25224.98, average time: 6.18
MD step 4090: esapsed time: 25288.53, average time: 6.18
MD step 4100: esapsed time: 25357.30, average time: 6.18
MD step 4110: esapsed time: 25416.72, average time: 6.18
MD step 4120: esapsed time: 25484.68, average time: 6.18
MD step 4130: esapsed time: 25552.18, average time: 6.19
MD step 4140: esapsed time: 25618.25, average time: 6.19
MD step 4150: esapsed time: 25680.03, average time: 6.19
MD step 4160: esapsed time: 25742.25, average time: 6.19
MD step 4170: esapsed time: 25807.04, average time: 6.19
MD step 4180: esapsed time: 25865.89, average time: 6.19
MD step 4190: esapsed time: 25923.89, average time: 6.19
MD step 4200: esapsed time: 25990.50, average time: 6.19
MD step 4210: esapsed time: 26054.41, average time: 6.19
MD step 4220: esapsed time: 26117.19, average time: 6.19
MD step 4230: esapsed time: 26174.00, average time: 6.19
MD step 4240: esapsed time: 26236.42, average time: 6.19
MD step 4250: esapsed time: 26310.26, average time: 6.19
MD step 4260: esapsed time: 26371.31, average time: 6.19
MD step 4270: esapsed time: 26433.41, average time: 6.19
MD step 4280: esapsed time: 26493.17, average time: 6.19
MD step 4290: esapsed time: 26563.04, average time: 6.19
MD step 4300: esapsed time: 26632.65, average time: 6.19
MD step 4310: esapsed time: 26694.87, average time: 6.19
MD step 4320: esapsed time: 26751.63, average time: 6.19
MD step 4330: esapsed time: 26817.86, average time: 6.19
MD step 4340: esapsed time: 26883.53, average time: 6.19
MD step 4350: esapsed time: 26950.78, average time: 6.19
MD step 4360: esapsed time: 27014.83, average time: 6.19
MD step 4370: esapsed time: 27077.82, average time: 6.19
MD step 4380: esapsed time: 27139.15, average time: 6.19
MD step 4390: esapsed time: 27199.51, average time: 6.19
MD step 4400: esapsed time: 27266.78, average time: 6.20
MD step 4410: esapsed time: 27331.56, average time: 6.20
MD step 4420: esapsed time: 27400.84, average time: 6.20
MD step 4430: esapsed time: 27458.78, average time: 6.20
MD step 4440: esapsed time: 27521.03, average time: 6.20
MD step 4450: esapsed time: 27592.29, average time: 6.20
MD step 4460: esapsed time: 27653.02, average time: 6.20
MD step 4470: esapsed time: 27716.52, average time: 6.20
MD step 4480: esapsed time: 27777.53, average time: 6.20
MD step 4490: esapsed time: 27848.81, average time: 6.20
MD step 4500: esapsed time: 27911.63, average time: 6.20
MD step 4510: esapsed time: 27974.59, average time: 6.20
MD step 4520: esapsed time: 28042.47, average time: 6.20
MD step 4530: esapsed time: 28104.98, average time: 6.20
MD step 4540: esapsed time: 28161.70, average time: 6.20
MD step 4550: esapsed time: 28219.83, average time: 6.20
MD step 4560: esapsed time: 28280.98, average time: 6.20
MD step 4570: esapsed time: 28340.48, average time: 6.20
MD step 4580: esapsed time: 28402.12, average time: 6.20
MD step 4590: esapsed time: 28468.63, average time: 6.20
MD step 4600: esapsed time: 28527.36, average time: 6.20
MD step 4610: esapsed time: 28588.56, average time: 6.20
MD step 4620: esapsed time: 28661.56, average time: 6.20
MD step 4630: esapsed time: 28724.73, average time: 6.20
MD step 4640: esapsed time: 28786.29, average time: 6.20
MD step 4650: esapsed time: 28845.69, average time: 6.20
MD step 4660: esapsed time: 28903.86, average time: 6.20
MD step 4670: esapsed time: 28961.65, average time: 6.20
MD step 4680: esapsed time: 29019.77, average time: 6.20
MD step 4690: esapsed time: 29074.88, average time: 6.20
MD step 4700: esapsed time: 29133.75, average time: 6.20
MD step 4710: esapsed time: 29194.13, average time: 6.20
MD step 4720: esapsed time: 29252.10, average time: 6.20
MD step 4730: esapsed time: 29310.01, average time: 6.20
MD step 4740: esapsed time: 29368.84, average time: 6.19
MD step 4750: esapsed time: 29426.58, average time: 6.19
MD step 4760: esapsed time: 29480.70, average time: 6.19
MD step 4770: esapsed time: 29538.17, average time: 6.19
MD step 4780: esapsed time: 29596.78, average time: 6.19
MD step 4790: esapsed time: 29667.50, average time: 6.19
MD step 4800: esapsed time: 29721.84, average time: 6.19
MD step 4810: esapsed time: 29774.08, average time: 6.19
MD step 4820: esapsed time: 29831.82, average time: 6.19
MD step 4830: esapsed time: 29884.60, average time: 6.19
MD step 4840: esapsed time: 29953.19, average time: 6.19
MD step 4850: esapsed time: 30019.68, average time: 6.19
MD step 4860: esapsed time: 30082.28, average time: 6.19
MD step 4870: esapsed time: 30142.68, average time: 6.19
MD step 4880: esapsed time: 30202.78, average time: 6.19
MD step 4890: esapsed time: 30262.63, average time: 6.19
MD step 4900: esapsed time: 30319.70, average time: 6.19
MD step 4910: esapsed time: 30378.91, average time: 6.19
MD step 4920: esapsed time: 30445.12, average time: 6.19
MD step 4930: esapsed time: 30501.10, average time: 6.19
MD step 4940: esapsed time: 30561.55, average time: 6.19
MD step 4950: esapsed time: 30628.57, average time: 6.19
MD step 4960: esapsed time: 30693.15, average time: 6.19
MD step 4970: esapsed time: 30749.35, average time: 6.19
MD step 4980: esapsed time: 30804.94, average time: 6.18
MD step 4990: esapsed time: 30866.50, average time: 6.18
MD step 5000: esapsed time: 30924.66, average time: 6.18
MD step 5010: esapsed time: 30980.95, average time: 6.18
MD step 5020: esapsed time: 31040.18, average time: 6.18
MD step 5030: esapsed time: 31103.24, average time: 6.18
MD step 5040: esapsed time: 31166.61, average time: 6.18
MD step 5050: esapsed time: 31234.28, average time: 6.18
MD step 5060: esapsed time: 31292.27, average time: 6.18
MD step 5070: esapsed time: 31356.13, average time: 6.18
MD step 5080: esapsed time: 31419.75, average time: 6.18
MD step 5090: esapsed time: 31489.57, average time: 6.19
MD step 5100: esapsed time: 31548.04, average time: 6.18
MD step 5110: esapsed time: 31604.48, average time: 6.18
MD step 5120: esapsed time: 31670.14, average time: 6.18
MD step 5130: esapsed time: 31729.99, average time: 6.18
MD step 5140: esapsed time: 31795.40, average time: 6.18
MD step 5150: esapsed time: 31850.59, average time: 6.18
MD step 5160: esapsed time: 31908.19, average time: 6.18
MD step 5170: esapsed time: 31968.92, average time: 6.18
MD step 5180: esapsed time: 32031.99, average time: 6.18
MD step 5190: esapsed time: 32090.02, average time: 6.18
MD step 5200: esapsed time: 32155.43, average time: 6.18
